Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - German,pct_german
0500000US13073,13073,"Columbia County, Georgia",124665,,11603,9.3073436811
0500000US13075,13075,"Cook County, Georgia",17073,,598,3.5026064546
0500000US13077,13077,"Coweta County, Georgia",127212,,9332,7.3357859321
0500000US13079,13079,"Crawford County, Georgia",12701,,613,4.8263916227
0500000US13081,13081,"Crisp County, Georgia",23460,,681,2.9028132992
0500000US13083,13083,"Dade County, Georgia",16598,,1214,7.314134233
0500000US13085,13085,"Dawson County, Georgia",22246,,1785,8.0239144116
0500000US13087,13087,"Decatur County, Georgia",27815,,898,3.228473845
0500000US13089,13089,"DeKalb County, Georgia",694671,,21485,3.0928309948
0500000US13091,13091,"Dodge County, Georgia",21509,,458,2.129341206
0500000US13093,13093,"Dooly County, Georgia",14528,,107,0.7365088106
0500000US13095,13095,"Dougherty County, Georgia",94591,,1969,2.0815933863
0500000US13097,13097,"Douglas County, Georgia",132124,,5539,4.1922739245
0500000US13099,13099,"Early County, Georgia",10928,,179,1.6379941435
0500000US13101,13101,"Echols County, Georgia",4024,,250,6.2127236581
0500000US13103,13103,"Effingham County, Georgia",52203,,5986,11.4667739402
0500000US13105,13105,"Elbert County, Georgia",20103,,493,2.452370293
0500000US13107,13107,"Emanuel County, Georgia",22600,,419,1.8539823009
0500000US13109,13109,"Evans County, Georgia",10935,,385,3.5208047554
0500000US13111,13111,"Fannin County, Georgia",23554,,1853,7.8670289547
0500000US13113,13113,"Fayette County, Georgia",106525,,9790,9.1903309082
0500000US13115,13115,"Floyd County, Georgia",96204,,4524,4.7025071723
0500000US13117,13117,"Forsyth County, Georgia",177103,,17926,10.1217935326
0500000US13119,13119,"Franklin County, Georgia",22070,,681,3.0856366108
0500000US13121,13121,"Fulton County, Georgia",929535,,40548,4.3621810905
0500000US13123,13123,"Gilmer County, Georgia",28232,,2529,8.9579200907
0500000US13125,13125,"Glascock County, Georgia",3082,,120,3.8935756003
0500000US13127,13127,"Glynn County, Georgia",79628,,4432,5.5658813483
0500000US13129,13129,"Gordon County, Georgia",55192,,1938,3.5113784606
0500000US13131,13131,"Grady County, Georgia",25068,,990,3.9492580182
0500000US13133,13133,"Greene County, Georgia",15988,,403,2.5206404804
0500000US13135,13135,"Gwinnett County, Georgia",810624,,40681,5.018479591
0500000US13137,13137,"Habersham County, Georgia",43038,,2520,5.8552906734
0500000US13139,13139,"Hall County, Georgia",180831,,10869,6.0105844684
0500000US13141,13141,"Hancock County, Georgia",9422,,190,2.0165569943
0500000US13143,13143,"Haralson County, Georgia",28627,,879,3.0705278234
0500000US13145,13145,"Harris County, Georgia",31870,,2488,7.8067147788
0500000US13147,13147,"Hart County, Georgia",25277,,970,3.8374807137
0500000US13149,13149,"Heard County, Georgia",11756,,652,5.546104117
0500000US13151,13151,"Henry County, Georgia",203185,,11277,5.5501144277
0500000US13153,13153,"Houston County, Georgia",140699,,9921,7.0512228232
0500000US13155,13155,"Irwin County, Georgia",9646,,288,2.9856935517
0500000US13157,13157,"Jackson County, Georgia",60268,,2891,4.7969071481
0500000US13159,13159,"Jasper County, Georgia",13786,,836,6.0641230234
0500000US13161,13161,"Jeff Davis County, Georgia",14972,,365,2.4378840502
0500000US13163,13163,"Jefferson County, Georgia",16817,,284,1.6887673188
0500000US13165,13165,"Jenkins County, Georgia",8477,,249,2.9373599151
0500000US13167,13167,"Johnson County, Georgia",9981,,376,3.7671575994
0500000US13169,13169,"Jones County, Georgia",28638,,704,2.4582722257
0500000US13171,13171,"Lamar County, Georgia",18151,,738,4.0658916864
0500000US13173,13173,"Lanier County, Georgia",10066,,760,7.5501688854
0500000US13175,13175,"Laurens County, Georgia",48264,,763,1.5808884469
0500000US13177,13177,"Lee County, Georgia",28449,,1321,4.643396956
0500000US13179,13179,"Liberty County, Georgia",64663,,3987,6.1658135255
0500000US13181,13181,"Lincoln County, Georgia",7962,,372,4.6721929164
0500000US13183,13183,"Long County, Georgia",14488,,1278,8.8210933186
0500000US13185,13185,"Lowndes County, Georgia",109730,,6462,5.8890002734
0500000US13187,13187,"Lumpkin County, Georgia",30040,,3181,10.5892143808
0500000US13189,13189,"McDuffie County, Georgia",21762,,687,3.1568789633
0500000US13191,13191,"McIntosh County, Georgia",14119,,356,2.5214250301
0500000US13193,13193,"Macon County, Georgia",14552,,552,3.7932930181
0500000US13195,13195,"Madison County, Georgia",27988,,1377,4.9199656996
0500000US13197,13197,"Marion County, Georgia",8615,,565,6.5583284968
0500000US13199,13199,"Meriwether County, Georgia",21966,,460,2.0941454976
0500000US13201,13201,"Miller County, Georgia",6094,,151,2.4778470627
0500000US13205,13205,"Mitchell County, Georgia",23510,,715,3.0412590387
0500000US13207,13207,"Monroe County, Georgia",26376,,1573,5.9637549287
0500000US13209,13209,"Montgomery County, Georgia",9054,,258,2.8495692512
0500000US13211,13211,"Morgan County, Georgia",17919,,849,4.7379876109
0500000US13213,13213,"Murray County, Georgia",39635,,1331,3.3581430554
0500000US13215,13215,"Muscogee County, Georgia",191278,,11152,5.8302575309
0500000US13217,13217,"Newton County, Georgia",100047,,4460,4.4579047848
0500000US13219,13219,"Oconee County, Georgia",32814,,2672,8.1428658499
0500000US13221,13221,"Oglethorpe County, Georgia",14745,,925,6.2733129875
0500000US13223,13223,"Paulding County, Georgia",141846,,10454,7.3699646095
0500000US13225,13225,"Peach County, Georgia",27531,,1069,3.8828956449
0500000US13227,13227,"Pickens County, Georgia",29445,,2117,7.1896756665
0500000US13229,13229,"Pierce County, Georgia",18631,,769,4.1275293865
0500000US13231,13231,"Pike County, Georgia",17765,,1042,5.8654658035
0500000US13233,13233,"Polk County, Georgia",41350,,1314,3.1777509069
0500000US13235,13235,"Pulaski County, Georgia",11801,,230,1.948987374
0500000US13237,13237,"Putnam County, Georgia",21184,,1156,5.4569486405
0500000US13239,13239,"Quitman County, Georgia",2542,257,47,1.8489378442
0500000US13241,13241,"Rabun County, Georgia",16297,,1098,6.737436338
0500000US13243,13243,"Randolph County, Georgia",7596,,152,2.0010531859
0500000US13245,13245,"Richmond County, Georgia",200337,,9354,4.6691325117
0500000US13247,13247,"Rockdale County, Georgia",85008,,3685,4.3348861284
0500000US13249,13249,"Schley County, Georgia",4963,,269,5.4201088052
0500000US13251,13251,"Screven County, Georgia",14574,,746,5.1187045423
0500000US13253,13253,"Seminole County, Georgia",8815,,221,2.5070901872
0500000US13255,13255,"Spalding County, Georgia",63979,,2411,3.7684240141
0500000US13257,13257,"Stephens County, Georgia",26003,,1490,5.7301080645
0500000US13259,13259,"Stewart County, Georgia",5991,,219,3.6554832248
0500000US13261,13261,"Sumter County, Georgia",32425,,733,2.2606013878
0500000US13263,13263,"Talbot County, Georgia",6772,,219,3.2339043119
0500000US13265,13265,"Taliaferro County, Georgia",1674,257,44,2.6284348865
0500000US13267,13267,"Tattnall County, Georgia",25023,,1272,5.0833233425
0500000US13269,13269,"Taylor County, Georgia",8700,,320,3.6781609195
0500000US13271,13271,"Telfair County, Georgia",16312,,105,0.6436978911
0500000US13273,13273,"Terrell County, Georgia",9365,,182,1.9434063001
0500000US13275,13275,"Thomas County, Georgia",44715,,1874,4.1909873644
0500000US13277,13277,"Tift County, Georgia",40430,,1127,2.7875340094
0500000US13279,13279,"Toombs County, Georgia",27270,,647,2.3725705904
0500000US13281,13281,"Towns County, Georgia",10491,,1068,10.1801544181
0500000US13283,13283,"Treutlen County, Georgia",6851,,33,0.4816815063
